"term","estimate","std.error","statistic","p.value"
"lol",0.432163211167766,0.0646735009659081,6.68223004342345,2.35333213766462e-11
"dude",0.361991700862467,0.0749423917257411,4.83026618882421,1.36350642273475e-06
"sorry",0.303652566427991,0.0635711333473144,4.77657940702451,1.78302163094228e-06
"thread",0.253807915032893,0.0817317008822645,3.10537909150461,0.00190035295954512
"bullshit",0.251314062866001,0.0753424389589891,3.33562420248697,0.00085108126525649
"irrelevant",0.248326860892825,0.0735661457499611,3.37555893898324,0.000736659114566778
"admit",0.226330566217518,0.0901533562391913,2.51050627130317,0.0120558180724077
"stated",0.217736445837837,0.0764711186807386,2.84730300267832,0.00440913737169725
"please",0.215783500592714,0.0551541646826995,3.9123700238071,9.13947307187097e-05
"comment",0.179742137667816,0.0493986057335597,3.63860750720956,0.000274116195650693
"read",0.174449329264779,0.0404902284167558,4.30843035680649,1.64417230402664e-05
"respond",0.171965585097122,0.085218889423412,2.01792802347737,0.0435987579984599
"literally",0.166230809284541,0.0365307576901221,4.5504342038186,5.35353260661277e-06
"arguments",0.159423574013121,0.0558576422702094,2.85410496278943,0.00431582694199959
"cmv",0.147674473585355,0.0739002598598321,1.99829437495148,0.0456847549904663
"ridiculous",0.144541870588281,0.0790455485479894,1.82858963272964,0.0674611069403886
"conversation",0.144204255285627,0.0627127301175779,2.29944151714116,0.0214798807016192
"yeah",0.143309363489088,0.0530531940073785,2.70123912745304,0.00690816503356045
"shit",0.140135236931502,0.0457492617615433,3.06311471564114,0.00219046071784518
"discussion",0.135060597514168,0.0517425989159226,2.61023992501093,0.00904787406172033
"answer",0.126994152455623,0.0501058481521039,2.53451756908921,0.0112602280382814
"asked",0.12171142108493,0.0703980678236534,1.72890286406462,0.0838264813958879
"comments",0.118955499937236,0.0735021027258416,1.61839587611435,0.105577310183216
"provide",0.116301197256725,0.0563460441630156,2.06405256987079,0.0390127323051373
"words",0.106240400565161,0.0450558430637933,2.35797164897654,0.0183750962531249
"logic",0.102470556340726,0.0556818279274342,1.84028722035253,0.0657260805983199
"science",0.0900407198504571,0.0410647782466557,2.19265082376988,0.0283325463471925
"source",0.0843317026299997,0.0451124640161719,1.86936591625251,0.0615719231463073
"clearly",0.0807775027772612,0.0536792856244116,1.50481702276094,0.132371126019546
"talking",0.0805865247693545,0.0335676283735326,2.40072142936662,0.0163627876653566
"fucking",0.0784477844865062,0.0429453957778317,1.82668672777725,0.0677468849334483
"research",0.0770833013000405,0.0525364662831663,1.46723422326445,0.142312350088222
"claim",0.0676265389218938,0.0387221441162433,1.7464564647784,0.080731665671611
"said",0.058268010830386,0.0239433315895486,2.43357991399243,0.0149503348353733
"yes",0.0580000493596779,0.0341853459781717,1.69663485040381,0.0897657167613658
"evidence",0.0533328801660562,0.0292461874017082,1.82358402596234,0.0682149833541894
"post",0.0327846655548339,0.0383011992060731,0.855969688532247,0.392014545893184
"argument",0.0276719696553938,0.0245991998853016,1.12491340305456,0.260625731801778
"fact",0.0154277292219866,0.0306609638651103,0.503171697075778,0.614843561950547
"trying",0.0119197626723728,0.0369085450074434,0.322954011597287,0.746730070731357
"know",0.00244679315933001,0.0211390217253764,0.115747700679675,0.90785250061345
