speaker,n_comments,mean_score,pct_awry
yyzjertl,324,15.08,41.4
I_am_the_night,313,15.82,55.6
Ansuz07,283,57.51,52.7
Iswallowedafly,279,10.91,59.5
GnosticGnome,261,23.65,29.9
PreacherJudge,255,38.46,40.8
fox-mcleod,254,65.4,53.1
Hellioning,232,49.58,42.7
edwardlleandre,225,52.56,67.1
Mitoza,213,5.74,66.2
MercurianAspirations,200,49.4,40.5
LucidMetal,192,17.59,55.7
hacksoncode,182,44.09,46.2
scottevil110,178,53.77,44.9
cdb03b,168,17.64,47.6
iwfan53,165,22.41,29.1
waldrop02,161,12.47,47.2
championofobscurity,154,22.64,57.8
miguelguajiro,154,32.72,36.4
vettewiz,153,6.29,56.2
dublea,149,39.44,45
10ebbor10,141,77.78,40.4
radialomens,141,14.01,50.4
3720-To-One,135,20.44,48.1
forestfly1234,133,5.41,59.4
ralph-j,130,13.6,30
BenIncognito,129,23.47,54.3
Burflax,128,21.38,50
Hq3473,128,15.84,59.4
SC803,121,13.88,56.2
Grunt08,120,21.78,73.3
Milskidasith,117,38.95,41
Genoscythe_,114,69.8,36.8
Love_Shaq_Baby,114,16.75,48.2
barbodelli,114,6.84,50.9
Sheexthro,113,2.73,59.3
Thoth_the_5th_of_Tho,112,12.2,36.6
McKoijion,111,37.23,42.3
Kirbyoto,110,53.65,58.2
muyamable,110,52.93,52.7
Rainbwned,106,75.27,29.2
TripRichert,105,39.27,35.2
gothpunkboy89,103,13.47,54.4
tbdabbholm,103,33.4,31.1
in_cavediver,102,22.28,44.1
destro23,101,83.5,46.5
Z7-852,99,41.06,48.5
Huntingmoa,97,5.34,39.2
drpussycookermd,97,27.45,54.6
moonflower,97,3.96,60.8
CoyotePatronus,94,5.12,74.5
nowthatsucks,92,6.16,48.9
Helpfulcloning,91,50.54,28.6
Tibaltdidnothinwrong,91,82.99,45.1
mfDandP,89,24.73,16.9
Biptoslipdi,88,38.74,71.6
jt4,88,42.47,37.5
PrimeLegionnaire,87,22.31,74.7
iamintheforest,87,53.09,28.7
prollywannacracker,87,66.95,51.7
IwasBlindedbyscience,85,11.86,63.5
NotMyBestMistake,85,43.49,70.6
AnythingApplied,84,74.46,40.5
Subtleiaint,84,6.79,42.9
Morthra,83,7.88,66.3
Gladix,82,24.4,45.1
cupcakesarethedevil,81,14.95,30.9
malachai926,81,13,63
TheVioletBarry,80,14.82,58.8
DrinkyDrank,79,15.44,50.6
BolshevikMuppet,78,21.59,64.1
Havenkeld,78,21.78,37.2
Madplato,77,11.71,27.3
NearEmu,77,2.52,66.2
Glory2Hypnotoad,76,53.01,26.3
Nepene,75,14.48,60
Prinnyramza,75,1.92,62.7
TuskaTheDaemonKilla,75,71.11,52
JohnReese20,74,10.99,37.8
Salanmander,74,32.16,37.8
Morasain,72,42.5,43.1
Nicolasv2,72,31.21,59.7
Tino_,72,12.6,40.3
Vesurel,72,15.88,29.2
thinkingpains,72,22.62,43.1
Bladefall,71,30.72,53.5
CrinkleLord,71,7.01,38
Craftsmaniac,70,2.59,88.6
DHCKris,70,22.87,37.1
MasterGrok,70,23.86,48.6
chadonsunday,70,25.04,48.6
morerandom2020,70,-0.07,50
MuaddibMcFly,69,11.54,76.8
Presentalbion,69,17.14,52.2
cacheflow,69,57.8,47.8
sailorbrendan,69,47.13,23.2
Arguetur,68,1.34,52.9
GameOfSchemes,67,1.21,62.7
Long-Rate-445,67,3.78,70.1
Poo-et,67,64.04,46.3
huadpe,67,84.43,44.8
caw81,66,25.61,34.8
jatjqtjat,66,60.02,24.2
Det_,65,9.71,36.9
caine269,65,7.68,56.9
professorcap987,65,32.49,40
speedyjohn,65,12.86,64.6
Lagkiller,64,6.36,78.1
VVillyD,64,123.97,54.7
anonoman925,64,7.61,40.6
thetasigma4,64,9.31,46.9
MMAchica,63,3.65,54
ShiningConcepts,63,10.35,39.7
joopface,63,97,36.5
toldyaso,63,1,60.3
Feathring,62,18.65,37.1
MontiBurns,62,15.11,54.8
Prepure_Kaede,62,2.94,50
ElysiX,61,21.28,54.1
HijacksMissiles,61,23.48,67.2
bguy74,61,18.79,75.4
Bookwrrm,60,6.35,73.3
CheesecakeMedium8500,60,8.28,80
parentheticalobject,60,22.98,36.7
sapphireminds,60,58.08,28.3
SuckMyBike,59,9.08,25.4
VertigoOne,59,28.78,37.3
xmuskorx,59,79.54,64.4
AloysiusC,58,2.55,55.2
AlwaysABride,58,11.19,41.4
Ardonpitt,58,6.95,65.5
