year,month,n_comments,n_conversations,year_month
2015,10,7,3,2015-10-01
2015,11,4,2,2015-11-01
2015,12,3,2,2015-12-01
2016,1,6,3,2016-01-01
2016,2,13,7,2016-02-01
2016,3,18,7,2016-03-01
2016,4,2,2,2016-04-01
2016,5,14,8,2016-05-01
2016,6,16,9,2016-06-01
2016,7,5,2,2016-07-01
2016,9,15,4,2016-09-01
2016,10,1,1,2016-10-01
2016,11,11,5,2016-11-01
2016,12,3,2,2016-12-01
2017,1,3,2,2017-01-01
2017,2,8,4,2017-02-01
2017,3,20,8,2017-03-01
2017,4,12,5,2017-04-01
2017,5,8,4,2017-05-01
2017,6,1,1,2017-06-01
2017,7,19,7,2017-07-01
2017,8,10,5,2017-08-01
2017,9,11,5,2017-09-01
2017,10,27,12,2017-10-01
2017,11,17,8,2017-11-01
2017,12,12,5,2017-12-01
2018,1,13,6,2018-01-01
2018,2,9,3,2018-02-01
2018,3,22,10,2018-03-01
2018,4,29,17,2018-04-01
2018,5,19,11,2018-05-01
2018,6,5,4,2018-06-01
2018,7,16,8,2018-07-01
2018,8,37,18,2018-08-01
2018,9,22,8,2018-09-01
2018,10,25,10,2018-10-01
2018,11,37,12,2018-11-01
2018,12,29,12,2018-12-01
2019,1,41,20,2019-01-01
2019,2,30,15,2019-02-01
2019,3,17,10,2019-03-01
2019,4,27,15,2019-04-01
2019,5,42,14,2019-05-01
2019,6,20,11,2019-06-01
2019,7,41,16,2019-07-01
2019,8,26,18,2019-08-01
2019,9,46,26,2019-09-01
2019,10,67,25,2019-10-01
2019,11,57,25,2019-11-01
2019,12,42,23,2019-12-01
2020,1,27,15,2020-01-01
2020,2,87,31,2020-02-01
2020,3,39,21,2020-03-01
2020,4,49,23,2020-04-01
2020,5,60,25,2020-05-01
2020,6,79,43,2020-06-01
2020,7,69,39,2020-07-01
2020,8,69,33,2020-08-01
2020,9,86,39,2020-09-01
2020,10,58,31,2020-10-01
2020,11,68,28,2020-11-01
2020,12,81,41,2020-12-01
2021,1,89,39,2021-01-01
2021,2,57,29,2021-02-01
2021,3,54,23,2021-03-01
2021,4,84,40,2021-04-01
2021,5,53,20,2021-05-01
2021,6,54,18,2021-06-01
2021,7,101,46,2021-07-01
2021,8,118,41,2021-08-01
2021,9,151,56,2021-09-01
2021,10,87,31,2021-10-01
2021,11,61,25,2021-11-01
2021,12,43,20,2021-12-01
2022,1,21,12,2022-01-01
2022,2,65,25,2022-02-01
2022,3,37,21,2022-03-01
2022,4,88,35,2022-04-01
2022,5,43,21,2022-05-01
2022,6,37,19,2022-06-01
2022,7,33,21,2022-07-01
2022,8,51,21,2022-08-01
2022,9,12,9,2022-09-01
2022,10,9,6,2022-10-01
2022,11,7,5,2022-11-01
2022,12,10,7,2022-12-01
