year,month,n_comments,n_conversations,unique_users,year_month
2015,8,4,2,3,2015-08-01
2015,9,503,95,231,2015-09-01
2015,10,695,110,293,2015-10-01
2015,11,538,81,206,2015-11-01
2015,12,672,113,287,2015-12-01
2016,1,786,117,273,2016-01-01
2016,2,942,139,361,2016-02-01
2016,3,834,135,341,2016-03-01
2016,4,670,109,245,2016-04-01
2016,5,622,107,228,2016-05-01
2016,6,810,145,313,2016-06-01
2016,7,820,124,267,2016-07-01
2016,8,901,143,324,2016-08-01
2016,9,767,120,269,2016-09-01
2016,10,985,162,316,2016-10-01
2016,11,800,134,295,2016-11-01
2016,12,964,154,328,2016-12-01
2017,1,961,146,334,2017-01-01
2017,2,1023,164,317,2017-02-01
2017,3,999,159,351,2017-03-01
2017,4,739,126,275,2017-04-01
2017,5,758,125,285,2017-05-01
2017,6,672,119,275,2017-06-01
2017,7,1134,192,401,2017-07-01
2017,8,1070,176,361,2017-08-01
2017,9,948,143,331,2017-09-01
2017,10,932,156,339,2017-10-01
2017,11,801,139,316,2017-11-01
2017,12,1284,205,432,2017-12-01
2018,1,1048,179,377,2018-01-01
2018,2,1169,195,445,2018-02-01
2018,3,1373,221,481,2018-03-01
2018,4,1050,186,406,2018-04-01
2018,5,1630,277,582,2018-05-01
2018,6,1115,193,433,2018-06-01
2018,7,1247,199,437,2018-07-01
2018,8,1090,180,388,2018-08-01
2018,9,1425,234,515,2018-09-01
2018,10,1535,261,554,2018-10-01
2018,11,1208,209,454,2018-11-01
2018,12,1572,262,520,2018-12-01
2019,1,1676,277,559,2019-01-01
2019,2,1197,206,447,2019-02-01
2019,3,1180,218,425,2019-03-01
2019,4,1059,198,395,2019-04-01
2019,5,1172,195,395,2019-05-01
2019,6,1344,213,413,2019-06-01
2019,7,1175,206,401,2019-07-01
2019,8,1243,218,446,2019-08-01
2019,9,1253,232,449,2019-09-01
2019,10,1574,263,538,2019-10-01
2019,11,1339,230,455,2019-11-01
2019,12,1732,283,586,2019-12-01
2020,1,1543,257,527,2020-01-01
2020,2,1579,304,572,2020-02-01
2020,3,1799,304,632,2020-03-01
2020,4,1549,270,538,2020-04-01
2020,5,1551,252,546,2020-05-01
2020,6,2622,486,881,2020-06-01
2020,7,2330,406,796,2020-07-01
2020,8,2251,381,787,2020-08-01
2020,9,1954,354,723,2020-09-01
2020,10,1709,330,651,2020-10-01
2020,11,2003,351,742,2020-11-01
2020,12,1986,337,678,2020-12-01
2021,1,2444,392,798,2021-01-01
2021,2,1660,295,551,2021-02-01
2021,3,1864,308,639,2021-03-01
2021,4,2001,351,707,2021-04-01
2021,5,1775,323,612,2021-05-01
2021,6,2373,409,752,2021-06-01
2021,7,1609,283,530,2021-07-01
2021,8,1854,332,630,2021-08-01
2021,9,2108,369,687,2021-09-01
2021,10,1573,268,542,2021-10-01
2021,11,1837,306,641,2021-11-01
2021,12,1501,256,540,2021-12-01
2022,1,1508,278,584,2022-01-01
2022,2,1266,198,398,2022-02-01
2022,3,1319,259,516,2022-03-01
2022,4,1819,304,568,2022-04-01
2022,5,1742,303,589,2022-05-01
2022,6,2193,360,776,2022-06-01
2022,7,1990,316,698,2022-07-01
2022,8,1982,367,677,2022-08-01
2022,9,959,164,346,2022-09-01
2022,10,527,86,206,2022-10-01
2022,11,510,86,225,2022-11-01
2022,12,463,90,191,2022-12-01
