year,month,n_comments,n_conversations,year_month
2015,9,54,22,2015-09-01
2015,10,63,27,2015-10-01
2015,11,77,28,2015-11-01
2015,12,73,33,2015-12-01
2016,1,107,41,2016-01-01
2016,2,114,44,2016-02-01
2016,3,94,38,2016-03-01
2016,4,142,46,2016-04-01
2016,5,100,37,2016-05-01
2016,6,143,48,2016-06-01
2016,7,143,42,2016-07-01
2016,8,143,49,2016-08-01
2016,9,148,50,2016-09-01
2016,10,187,61,2016-10-01
2016,11,134,54,2016-11-01
2016,12,200,63,2016-12-01
2017,1,124,47,2017-01-01
2017,2,262,79,2017-02-01
2017,3,161,58,2017-03-01
2017,4,157,51,2017-04-01
2017,5,130,46,2017-05-01
2017,6,100,38,2017-06-01
2017,7,170,65,2017-07-01
2017,8,214,85,2017-08-01
2017,9,199,63,2017-09-01
2017,10,197,71,2017-10-01
2017,11,158,60,2017-11-01
2017,12,210,88,2017-12-01
2018,1,169,63,2018-01-01
2018,2,196,75,2018-02-01
2018,3,197,79,2018-03-01
2018,4,160,65,2018-04-01
2018,5,204,89,2018-05-01
2018,6,169,68,2018-06-01
2018,7,155,67,2018-07-01
2018,8,125,57,2018-08-01
2018,9,194,81,2018-09-01
2018,10,241,89,2018-10-01
2018,11,186,85,2018-11-01
2018,12,229,87,2018-12-01
2019,1,257,107,2019-01-01
2019,2,169,73,2019-02-01
2019,3,234,96,2019-03-01
2019,4,164,64,2019-04-01
2019,5,171,69,2019-05-01
2019,6,365,103,2019-06-01
2019,7,214,77,2019-07-01
2019,8,196,77,2019-08-01
2019,9,197,80,2019-09-01
2019,10,258,103,2019-10-01
2019,11,259,90,2019-11-01
2019,12,281,111,2019-12-01
2020,1,343,123,2020-01-01
2020,2,259,111,2020-02-01
2020,3,271,104,2020-03-01
2020,4,276,102,2020-04-01
2020,5,181,73,2020-05-01
2020,6,404,166,2020-06-01
2020,7,322,127,2020-07-01
2020,8,271,116,2020-08-01
2020,9,262,114,2020-09-01
2020,10,262,105,2020-10-01
2020,11,208,96,2020-11-01
2020,12,337,117,2020-12-01
2021,1,357,132,2021-01-01
2021,2,288,108,2021-02-01
2021,3,310,113,2021-03-01
2021,4,273,101,2021-04-01
2021,5,260,108,2021-05-01
2021,6,504,182,2021-06-01
2021,7,312,122,2021-07-01
2021,8,331,123,2021-08-01
2021,9,371,152,2021-09-01
2021,10,308,120,2021-10-01
2021,11,332,121,2021-11-01
2021,12,228,100,2021-12-01
2022,1,286,107,2022-01-01
2022,2,309,103,2022-02-01
2022,3,243,105,2022-03-01
2022,4,359,139,2022-04-01
2022,5,331,119,2022-05-01
2022,6,378,150,2022-06-01
2022,7,327,116,2022-07-01
2022,8,377,151,2022-08-01
2022,9,183,66,2022-09-01
2022,10,57,27,2022-10-01
2022,11,107,38,2022-11-01
2022,12,78,33,2022-12-01
