speaker,n_comments,mean_word_count,mean_score
-AragornElessar-,50,37.2,13.56
10ebbor10,141,127.7,77.78
2r1t,52,82.4,27.37
3720-To-One,135,45.4,20.44
47ca05e6209a317a8fb3,43,101,76.51
ACrusaderA,49,95.4,14.49
AloysiusC,58,108.9,2.55
AlwaysABride,58,74.3,11.19
Ansuz07,283,114.7,57.51
AnythingApplied,84,172.2,74.46
Ardonpitt,58,260.3,6.95
Arguetur,68,43.2,1.34
ArmchairSlacktavist,57,86.5,16.86
Babou_FoxEarAHole,53,75.5,15.94
BackAlleySurgeon,43,107.2,8.65
BenIncognito,129,130.1,23.47
BingBlessAmerica,41,60.5,58.27
Biptoslipdi,88,109.6,38.74
Bladefall,71,49.4,30.72
BlitzBasic,41,41.9,10.93
BolshevikMuppet,78,299.4,21.59
Bookwrrm,60,95.2,6.35
BuddhaPunch1,43,50.3,20.12
Burflax,128,94.5,21.38
Canada_Constitution,45,116.5,55.91
CheesecakeMedium8500,60,78.6,8.28
Clouds_are_wet,42,102.2,1.71
CoyotePatronus,94,234,5.12
Craftsmaniac,70,37.5,2.59
Crafty_Possession_52,51,58.6,6.63
CrinkleLord,71,86,7.01
CyberneticWhale,56,103.8,5.82
DBDude,44,83.6,3.32
DHCKris,70,62.1,22.87
Darq_At,41,90,7.17
Det_,65,40.7,9.71
DjangoUBlackBastard,53,168.6,10.08
DrinkyDrank,79,128.1,15.44
ElysiX,61,76.5,21.28
Eng_Queen,55,79.2,12.15
Feathring,62,54.5,18.65
Fit-Order-9468,48,50.8,17.1
GameOfSchemes,67,113,1.21
Genoscythe_,114,153.4,69.8
Giblette101,50,86.3,10.6
Gladix,82,240.8,24.4
Glory2Hypnotoad,76,64.2,53.01
GnosticGnome,261,74,23.65
GodoftheCopyBooks,50,176,5.46
Grunt08,120,261.3,21.78
Havenkeld,78,215.3,21.78
Hellioning,232,54.2,49.58
Helpfulcloning,91,117.2,50.54
HijacksMissiles,61,127.9,23.48
Hq3473,128,59.6,15.84
Hugogs10,44,40.5,16.57
Huntingmoa,97,105.9,5.34
I_am_the_night,313,145.5,15.82
Intrepid-Client9449,44,88.2,0.95
Iswallowedafly,279,64.5,10.91
ItsPandatory,57,58.9,14.86
IwasBlindedbyscience,85,47.8,11.86
JohnReese20,74,54.6,10.99
KevinWester,57,105,46.95
Kirbyoto,110,170.9,53.65
Lagkiller,64,127.9,6.36
LetMeNotHear,55,132.1,36.42
Littlepush,45,42.5,13.82
Long-Rate-445,67,76.2,3.78
Love_Shaq_Baby,114,169.7,16.75
Lox-droplet,40,83.3,2.12
LucidMetal,192,62.5,17.59
LysenkoistReefer,44,115.6,13.73
MMAchica,63,138.2,3.65
Madauras,43,97,49.6
Madplato,77,110.3,11.71
Major_Lennox,49,56.8,5.43
MasterGrok,70,77.9,23.86
McKoijion,111,218.5,37.23
MercurianAspirations,200,119.8,49.4
