speaker,n_comments,max_delta,delta_rate
yyzjertl,324,439,1.3549
I_am_the_night,313,268,0.8562
Ansuz07,283,571,2.0177
Iswallowedafly,279,86,0.3082
GnosticGnome,261,586,2.2452
PreacherJudge,255,333,1.3059
fox-mcleod,254,400,1.5748
Hellioning,232,163,0.7026
edwardlleandre,225,171,0.76
Mitoza,213,61,0.2864
MercurianAspirations,200,296,1.48
LucidMetal,192,109,0.5677
hacksoncode,182,486,2.6703
scottevil110,178,174,0.9775
cdb03b,168,251,1.494
iwfan53,165,248,1.503
waldrop02,161,93,0.5776
championofobscurity,154,160,1.039
miguelguajiro,154,188,1.2208
vettewiz,153,26,0.1699
dublea,149,216,1.4497
10ebbor10,141,168,1.1915
radialomens,141,156,1.1064
3720-To-One,135,80,0.5926
forestfly1234,133,72,0.5414
ralph-j,130,431,3.3154
BenIncognito,129,129,1
Burflax,128,69,0.5391
Hq3473,128,270,2.1094
SC803,121,108,0.8926
Grunt08,120,255,2.125
Milskidasith,117,301,2.5726
Genoscythe_,114,219,1.9211
Love_Shaq_Baby,114,207,1.8158
barbodelli,114,43,0.3772
Sheexthro,113,19,0.1681
Thoth_the_5th_of_Tho,112,150,1.3393
McKoijion,111,611,5.5045
Kirbyoto,110,44,0.4
muyamable,110,247,2.2455
Rainbwned,106,114,1.0755
TripRichert,105,231,2.2
gothpunkboy89,103,22,0.2136
tbdabbholm,103,179,1.7379
in_cavediver,102,146,1.4314
destro23,101,201,1.9901
Z7-852,99,150,1.5152
Huntingmoa,97,454,4.6804
drpussycookermd,97,43,0.4433
moonflower,97,82,0.8454
CoyotePatronus,94,160,1.7021
nowthatsucks,92,28,0.3043
Helpfulcloning,91,148,1.6264
Tibaltdidnothinwrong,91,379,4.1648
mfDandP,89,184,2.0674
Biptoslipdi,88,69,0.7841
jt4,88,116,1.3182
PrimeLegionnaire,87,18,0.2069
iamintheforest,87,210,2.4138
prollywannacracker,87,21,0.2414
IwasBlindedbyscience,85,16,0.1882
NotMyBestMistake,85,36,0.4235
AnythingApplied,84,434,5.1667
Subtleiaint,84,23,0.2738
Morthra,83,58,0.6988
Gladix,82,148,1.8049
cupcakesarethedevil,81,55,0.679
malachai926,81,28,0.3457
TheVioletBarry,80,72,0.9
DrinkyDrank,79,134,1.6962
BolshevikMuppet,78,105,1.3462
Havenkeld,78,270,3.4615
Madplato,77,71,0.9221
NearEmu,77,33,0.4286
Glory2Hypnotoad,76,352,4.6316
Nepene,75,195,2.6
Prinnyramza,75,7,0.0933
TuskaTheDaemonKilla,75,57,0.76
JohnReese20,74,57,0.7703
Salanmander,74,239,3.2297
Morasain,72,76,1.0556
Nicolasv2,72,105,1.4583
Tino_,72,54,0.75
Vesurel,72,39,0.5417
thinkingpains,72,58,0.8056
Bladefall,71,73,1.0282
CrinkleLord,71,37,0.5211
Craftsmaniac,70,19,0.2714
DHCKris,70,110,1.5714
MasterGrok,70,137,1.9571
chadonsunday,70,33,0.4714
morerandom2020,70,3,0.0429
MuaddibMcFly,69,47,0.6812
Presentalbion,69,52,0.7536
cacheflow,69,318,4.6087
sailorbrendan,69,51,0.7391
Arguetur,68,31,0.4559
GameOfSchemes,67,28,0.4179
Long-Rate-445,67,NA,NA
Poo-et,67,72,1.0746
huadpe,67,487,7.2687
caw81,66,166,2.5152
jatjqtjat,66,178,2.697
Det_,65,101,1.5538
caine269,65,8,0.1231
professorcap987,65,7,0.1077
speedyjohn,65,67,1.0308
Lagkiller,64,7,0.1094
