"term","estimate","std.error","statistic","p.value"
"lol",0.431947999091031,0.0646760575937849,6.67863835801488,2.41172473542352e-11
"dude",0.361851540238042,0.0749459933782878,4.82816390746342,1.37797656601551e-06
"sorry",0.30344878260733,0.0635745745845699,4.77311542531312,1.81397757057592e-06
"thread",0.25384779478481,0.0817285517681627,3.10598669978753,0.00189645245443948
"bullshit",0.250753560696525,0.0753464641272292,3.32800700870455,0.000874696658677229
"irrelevant",0.24827504303454,0.0735702630232297,3.37466569823391,0.000739054091385684
"admit",0.225666656372302,0.0901590331906459,2.5029844308015,0.0123150961411867
"stated",0.217593187452618,0.0764761925298954,2.84524085541468,0.00443778529737732
"please",0.215717001814552,0.0551570616280704,3.91095891345978,9.19304111693591e-05
"comment",0.179915566216943,0.0493991226905343,3.64208019126253,0.000270443792674561
"read",0.174125340596197,0.0404984805227433,4.29955243625526,1.71143380682346e-05
"respond",0.172209421000753,0.0852204310997498,2.02075275586418,0.0433053656534708
"literally",0.166181019962891,0.036531103861507,4.5490281540054,5.38942330448375e-06
"arguments",0.159117275087365,0.0559088681057987,2.84601138385168,0.00442706122062033
"cmv",0.147772673410985,0.0738979020491497,1.99968699128564,0.0455340737635156
"ridiculous",0.1444321474735,0.0790488866462912,1.82712437329789,0.0676810713672825
"conversation",0.144299073648735,0.0627115742536498,2.30099587462256,0.0213918642630579
"yeah",0.143211763273772,0.0530579359007452,2.69915820965362,0.00695151204162355
"shit",0.139736165322666,0.0457671476478511,3.05319803623871,0.00226416464382331
"discussion",0.135125023605033,0.0517435818427396,2.6114354436403,0.00901630089338841
"answer",0.126808738627482,0.0501095185914022,2.53063174806153,0.011385731636109
"asked",0.121293242290975,0.0703888070996324,1.72318934343197,0.0848542902088625
"comments",0.119051984933118,0.0734960857334054,1.61984116222133,0.105266401583378
"provide",0.116236402629371,0.0563492035342908,2.06278696660967,0.0391328728744965
"words",0.106164013133313,0.0450567966598269,2.35622638544052,0.0184616626907227
"logic",0.102482866035297,0.0556846772416309,1.84041411590833,0.0657074626196132
"science",0.0898338768098423,0.0410756042483612,2.18703725614521,0.0287398043538936
"source",0.0844226054784138,0.045115623543085,1.87124988747614,0.061310452931988
"clearly",0.0806643162895085,0.0536826221518747,1.50261505597285,0.132938338610369
"talking",0.0803192278821159,0.0335763461952021,2.39213723301415,0.0167505779143744
"fucking",0.0784137431832096,0.0429368520789863,1.82625738465783,0.067811501122935
"research",0.0768051740536201,0.0525372428978569,1.46191862795208,0.143763509677753
"claim",0.067687858181636,0.0387188324121083,1.74818954924034,0.0804312106438216
"said",0.0581579361848701,0.0239463997232224,2.42867140184212,0.0151542601342986
"yes",0.0578086412993226,0.0341922781009093,1.69069288477112,0.0908954739600116
"evidence",0.0532748886697758,0.0292493367269652,1.82140501738835,0.0685453130505616
"post",0.0328305329959382,0.0383018145823543,0.857153462673365,0.39136007782015
"argument",0.0277128600952828,0.0245999905598284,1.12653946056945,0.25993724762299
"fact",0.0151825803362627,0.0306695750853045,0.495037192202166,0.620573867356866
"trying",0.0119344614258251,0.0369091342054164,0.323347097751043,0.74643238917578
"know",0.00222821743595747,0.0211471875867994,0.105367081405585,0.916084535860836
